0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"['Netflix', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Apple Inc.', 1]","['Software', 1]","['Computer science', 1]","['Programmer', 1]","['Computer engineering', 1]","['Computer scientist', 1]","['GarageBand', 1]","['Apple Store', 1]","['British Computer Society', 1]","['Vulnerability (computing)', 1]","['Computer Games Magazine', 1]","['AMA University', 1]","['HTC', 1]","['Department of Computer Science, University of Oxford', 1]","['Rotten Apple (album)', 1]","['Apple TV', 1]","['Computer', 1]","['Computer & Communications Industry Association', 1]","['App Store (iOS/iPadOS)', 1]","['Personal computer', 1]","['Mac (computer)', 1]","['Computer hardware', 1]","['School of Electronics and Computer Science, University of Southampton', 1]","['Apple TV+', 1]",,,,,,
"['The Simpsons', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['FIFA World Cup', 2]","['Rugby World Cup', 2]","['1954 FIFA World Cup', 2]","['1958 FIFA World Cup', 2]","['1974 FIFA World Cup', 2]","['World Cup of Hockey', 2]","['1989–1992 Rugby League World Cup', 2]","['2008 Rugby League World Cup', 2]","['Dubai World Cup', 2]","['1995 Rugby World Cup', 2]","['ATP Finals', 2]","['FIFA U-17 World Cup', 2]","['Harry Potter: Quidditch World Cup', 2]","['2006 FIFA World Cup qualification', 2]","['2005 FIFA U-17 World Championship squads', 2]","['FIFA Futsal World Cup', 2]","['1982 FIFA World Cup qualification (CAF)', 2]","['QubicaAMF Bowling World Cup', 2]","['Mental Calculation World Cup', 2]","['1974 FIFA World Cup squads', 2]","['2010 FIFA World Cup qualification', 2]","['Touch Football World Cup', 2]","['Pitch and Putt World Cup', 2]","['2010 FIFA World Cup qualification (CONMEBOL)', 2]","['AMF Futsal World Cup', 2]","['2008 ISSF World Cup', 2]","['1995 Rugby World Cup squads', 2]","['2008 Rugby League World Cup Final', 2]","['2009 FIFA U-17 World Cup squads', 2]","['2014 FIFA World Cup qualification (CONMEBOL)', 2]"
"['Miscarriage', 1]","['Weight for Age', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Java (programming language)', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Air Jordan', 2]","['Michael Jordan', 1]","['Royal Air Force', 1]","['Royal Australian Air Force', 1]","['United States Air Force', 1]","['Hot air balloon', 1]","['Air Ministry', 1]","['Ramstein Air Base', 1]","['Special Air Service', 1]","['Davis–Monthan Air Force Base', 1]","['United States Air Force Academy', 1]","['Eglin Air Force Base', 1]","['Tyndall Air Force Base', 1]","['Anti-aircraft warfare', 1]","['Air Raid Precautions', 1]","['Far East Air Force (United States)', 1]","['Bagram Airfield', 1]","['Nellis Air Force Base', 1]","['Soviet Air Forces', 1]","['Aerial refueling', 1]","['Air National Guard', 1]","['Air Force of Zimbabwe', 1]","['Air China', 1]","['Misawa Air Base', 1]","['Cape Canaveral Space Force Station', 1]","['Fukuoka Airport', 1]","['Crossing Jordan', 1]","['Combat air patrol', 1]","['Gulf Air', 1]","['Scott Air Force Base', 1]"
"['Major depressive disorder', 1]","['Tropical cyclone', 1]","['Great Depression', 1]","['New Deal', 1]","['Co-ownership (association football)', 1]",,,,,,,,,,,,,,,,,,,,,,,,,
"['Klondike Gold Rush', 1]","['Music recording certification', 1]","['Gold medal', 1]","['Pensacola: Wings of Gold', 1]","['Gold Coast Chargers', 1]","['Make It Last Forever (album)', 1]","['GOLD', 1]","['Svenska Dagbladet Gold Medal', 1]","['List of The Bill characters', 1]","['Help Me Make It Through the Night', 1]","['BSA Gold Star', 1]","['Make the World Go Away', 1]","[""I Can't Make You Love Me"", 1]","['Star Maa', 1]","[""Let's Make Love (song)"", 1]","['Gold dinar', 1]","['Never Make It Home', 1]","['Bed of Gold', 1]","['Make It with You (album)', 1]","[""Let's Make Music"", 1]","['List of multiple Paralympic gold medalists', 1]","['Disney Star', 1]","['Sam Gold', 1]",,,,,,,
"['Cannabis (drug)', 1]","['Marijuana Deathsquads', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Make It Last Forever (album)', 1]","['Help Me Make It Through the Night', 1]","['Make the World Go Away', 1]","[""I Can't Make You Love Me"", 1]","[""Let's Make Love (song)"", 1]","['Never Make It Home', 1]","['Make It with You (album)', 1]","[""Let's Make Music"", 1]",,,,,,,,,,,,,,,,,,,,,,
"['Nuclear winter', 1]","['2002 Winter Olympics', 1]","['2010 Winter Olympics', 1]","['Johnny Winter', 1]","['1998 Winter Paralympics', 1]","['2002 Winter Paralympics', 1]","['2006 Winter Paralympics', 1]","['2014 Winter Olympics', 1]","['Sole (hip hop artist)', 1]","['Valley Forge', 1]","['Formula TR 2000 Pro Series', 1]","['Winter in America', 1]","[""Ice hockey at the 2010 Winter Olympics – Men's tournament"", 1]","['Klaus Winter', 1]","['2011 SM Town Winter – The Warmest Gift', 1]","[""Ice hockey at the 2014 Winter Olympics – Men's tournament"", 1]","['The Falcon and the Winter Soldier', 1]",,,,,,,,,,,,,
"['Rick Barry', 1]","['Rick Nash', 1]","['Rick Carlisle', 1]","['Rick Fox', 1]","['Rick Nowels', 1]","['Rick Burleson', 1]","['Rick Monday', 1]","['Rick Rhoden', 1]","['Rick Meagher', 1]","['Rick Zombo', 1]","['Rick Forrester', 1]","['Rick Jones (voice actor)', 1]","['Rick Adair', 1]","['Rick Ross', 1]",,,,,,,,,,,,,,,,
"['Natural-language understanding', 2]","['Arabic', 1]","['French language', 1]","['Persian language', 1]","['Greek language', 1]","['Natural resource', 1]","['Natural gas', 1]","['Portuguese language', 1]","['Welsh language', 1]","['Indonesian language', 1]","['Batch processing', 1]","['Kannada', 1]","['Natural science', 1]","['Egyptian language', 1]","['Natural disaster', 1]","['Natural History (Pliny)', 1]","['Natural history', 1]","['Assamese language', 1]","['Natural Bridges National Monument', 1]","['Uyghur language', 1]","['Hittite language', 1]","['Field Museum of Natural History', 1]","['American Museum of Natural History', 1]","['Natural childbirth', 1]","['Academy of Natural Sciences of Drexel University', 1]","['Indiana Department of Natural Resources', 1]","['Push processing', 1]","['Language school', 1]","['Tewa language', 1]","['Natural England', 1]"
"['FIFA World Cup', 2]","['Rugby World Cup', 2]","['1954 FIFA World Cup', 2]","['1958 FIFA World Cup', 2]","['1974 FIFA World Cup', 2]","['World Cup of Hockey', 2]","['1989–1992 Rugby League World Cup', 2]","['2008 Rugby League World Cup', 2]","['Dubai World Cup', 2]","['1995 Rugby World Cup', 2]","['ATP Finals', 2]","['FIFA U-17 World Cup', 2]","['Harry Potter: Quidditch World Cup', 2]","['2006 FIFA World Cup qualification', 2]","['2005 FIFA U-17 World Championship squads', 2]","['FIFA Futsal World Cup', 2]","['1982 FIFA World Cup qualification (CAF)', 2]","['QubicaAMF Bowling World Cup', 2]","['Mental Calculation World Cup', 2]","['1974 FIFA World Cup squads', 2]","['2010 FIFA World Cup qualification', 2]","['Touch Football World Cup', 2]","['Pitch and Putt World Cup', 2]","['2010 FIFA World Cup qualification (CONMEBOL)', 2]","['AMF Futsal World Cup', 2]","['2008 ISSF World Cup', 2]","['1995 Rugby World Cup squads', 2]","['2008 Rugby League World Cup Final', 2]","['2009 FIFA U-17 World Cup squads', 2]","['2014 FIFA World Cup qualification (CONMEBOL)', 2]"
"['Dolly Parton', 1]","['Sheep', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2008 MTV Video Music Brazil', 2]","['Academy Award for Best Film Editing', 1]","['The New York Times Best Seller list', 1]","['Grammy Award for Best R&B Performance by a Duo or Group with Vocals', 1]","['BBC Radio 5 Live', 1]","['Census-designated place', 1]","['Grammy Award for Best Orchestral Performance', 1]","['George Best', 1]","['Grammy Award for Best Gospel/Contemporary Christian Music Performance', 1]","['Grammy Award for Best Gospel Vocal Performance, Female', 1]","['Grammy Award for Best Soul Gospel Performance, Female', 1]","['Grammy Award for Best Soul Gospel Performance by a Duo or Group, Choir or Chorus', 1]","['Greatest hits album', 1]","['Grammy Award for Best Pop/Contemporary Gospel Album', 1]","['800 metres', 1]","['All Souls Church, Langham Place', 1]","['Rogers Arena', 1]","['Northlands Coliseum', 1]","['Queen of the South F.C.', 1]","['Live by Request (k.d. lang album)', 1]","[""Critics' Circle Theatre Award"", 1]","['Utah...This Is the Place', 1]","['In My Place', 1]","['Golden Globe Award for Best Limited or Anthology Series or Television Film', 1]","['Golden Globe Award for Best Actor – Miniseries or Television Film', 1]","['Golden Globe Award for Best Supporting Actor – Series, Miniseries or Television Film', 1]","['Golden Globe Award for Best Supporting Actress – Series, Miniseries or Television Film', 1]","['Assisted Places Scheme', 1]","['Best Student Council', 1]","['Beam axle', 1]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Tim Flowers', 1]","['Flowers for My Father', 1]","['Falling Flowers', 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,
