0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
"['Maxine', 1.0]","['Babe Winkelman', 1.0]","['Henry Lau', 1.0]","['Yellow Bird (company)', 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,
"['Help', 1.0]","['Warehouse 13', 0.8743]","['HyperStudio', 0.79416]","['Babe Winkelman', 0.79416]","['Adam Steinhardt', 0.79416]","['WaveMaker', 0.79416]","['Video portal', 0.79416]","['List of image-sharing websites', 0.79416]","['Bryan Niven', 0.79416]","['Jeff Bates (technologist)', 0.60771]","['List of colleges and universities in Bacolod', 0.60771]","['Maxine', 0.60771]","['Alrafidain University College', 0.60771]","['Greek diacritics', 0.60771]","['Critical Watch', 0.60771]","['Modulating retro-reflector', 0.60771]","['Nigel Shadbolt', 0.60771]","['Notre Dame-Siena College of Polomolok', 0.60771]","['List of University of Pittsburgh buildings', 0.60771]","['Scott Brinker', 0.60771]","['Technical Design Labs', 0.60771]","['PRO-IP Act', 0.60771]","['Twister...Ride it Out', 0.60771]","['University of Diyala', 0.60771]","['Early Bird (short story)', 0.60771]","['Milang, South Australia', 0.60771]","['Ghost Online', 0.60771]","['D. J. Sindh Government Science College', 0.60771]","['William Whitaker', 0.60771]","['TouchStone Software', 0.60771]"
"['Tame bear', 1.0]","['Potato cannon', 1.0]","[""1999 Kids' Choice Awards"", 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Mats Zuccarello', 1.0]","['Guido Vincenzi', 1.0]","['Bartosz Salamon', 1.0]","['Saori Kondo', 1.0]","['Tinopolis', 1.0]","['Helmut Gutiérrez', 1.0]","['Larry Jennings', 1.0]","['EA Bright Light', 1.0]","['Jimmy Binning', 1.0]","['Giovanni Giacomazzi', 1.0]","['May 2008 in sports', 0.99901]","['Turkey national under-17 football team', 0.99828]","['Paraguay national futsal team', 0.99672]","['Ernst Bolldén', 0.99148]","['David Williams (rugby league, born 1986)', 0.99148]","['Dougie Sharpe', 0.98241]","['Sport in Catalonia', 0.97271]","['Pablo Aguilar (footballer, born 1987)', 0.97214]","['International cricket in 2008–09', 0.97133]","['Mavuba Mafuila', 0.96273]","['Lebanon national futsal team', 0.96101]","['Kazadi Mwamba', 0.95283]","['Wood Brothers Racing', 0.95107]","['2008 in Paraguayan football', 0.94776]","['Adderly Fong', 0.94776]","['Jack Surtees', 0.94776]","['Khaled Hamieh', 0.94776]","['Alan Hunte', 0.94776]","['Dean Richards (rugby union)', 0.94776]","['Johanna Allik', 0.92212]"
"['A Slice of Life (short story)', 0.88413]","['1999–2000 New Jersey Nets season', 0.74894]","['2008–09 Cleveland Cavaliers season', 0.74894]","['Demet Akalın', 0.74894]","['Open textbook', 0.74894]","['Maggie Cronin', 0.74894]","['Percy Vear', 0.74894]","['1960 United States presidential election in California', 0.74894]","['Josh Mandel', 0.74894]","['History of soccer in Newcastle, New South Wales', 0.74894]","['Reservation poverty', 0.74894]","['Kenny Wollesen', 0.74894]","['2008–09 Queens Park Rangers F.C. season', 0.74894]","['Art of the Devil', 0.74894]","['Eric Kennington', 0.74894]","['Tram route 3 (Antwerp)', 0.74894]","['Dean Richards (rugby union)', 0.74894]","['1987–88 Boston Celtics season', 0.74894]","['1979–80 Boston Celtics season', 0.74894]","['1989–90 Orlando Magic season', 0.74894]","['2008 Lebanon conflict', 0.66264]","['Helen Luz', 0.66264]","['Roneat dek', 0.66264]","['Eamonn Keane (weightlifter)', 0.66264]","['Jung Bu-kyung', 0.66264]","['Sylvain Saudan', 0.66264]","['Libral standard', 0.66264]","['Stern', 0.66264]","['Jaguar 420 and Daimler Sovereign (1966–1969)', 0.66264]","['Potato cannon', 0.66264]"
"['Maxine', 1.0]","['Roneat dek', 1.0]","['WaveMaker', 1.0]","['List of image-sharing websites', 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,
"['Josh Mandel', 1.0]","['PRO-IP Act', 1.0]","['Hassan (surname)', 1.0]","[""1999 Kids' Choice Awards"", 1.0]","['Wood Brothers Racing', 0.96863]","['Eric Kennington', 0.86953]","['Washington Redhawks', 0.82227]","['Hadath (disambiguation)', 0.82227]","['Surbiton Trophy', 0.82227]","['Norfolk County Council', 0.82227]","['Hapoel Holon B.C.', 0.82227]","['Space Jam (video game)', 0.82227]","['2008–09 Derby County F.C. season', 0.82227]","['Malva neglecta', 0.82227]","['Mango Street', 0.82227]","['Scott Cooley', 0.82227]","['Becca (musician)', 0.82227]","['Anton Muttukumaru', 0.82227]","['J. W. Fiske & Company', 0.82227]","['Mutah University', 0.82227]","['Folger', 0.82227]","['Percussion Bitter Sweet', 0.82227]","['Bryan Niven', 0.82227]","['Walhalla Graded School', 0.82227]","['Ariel Winter', 0.82227]","['Omar M. Yaghi', 0.775]","['Alvin Colt', 0.56909]","['Kirill Yevstigneyev', 0.56909]","['Bede Wing', 0.56909]","['Pacific Airways', 0.56909]"
"['DePauw Avenue Historic District', 0.80463]","['The Sorrows of an American', 0.80463]","['Hurricane Alma (1996)', 0.80463]","['NNC 63-0532', 0.80463]","[""Queen's Park, New Westminster"", 0.80463]","['Spud gun', 0.80463]","['Daniel Evans (Welsh poet)', 0.80463]","['Speaking in Strings', 0.80463]","['Elliott Dodds', 0.80463]","['Alma Karlin', 0.80463]","['Reginald Laubin', 0.80463]","['Serbia Zijin Bor Copper', 0.59378]","['2008–09 Cleveland Cavaliers season', 0.59378]","['Washington Redhawks', 0.59378]","['Betsan Powys', 0.59378]","['Lee International', 0.59378]","['2008–09 in Scottish football', 0.59378]","['2008 Lebanon conflict', 0.59378]","['Hellman & Friedman', 0.59378]","['Ondine (ballet)', 0.59378]","['Roger Bernadina', 0.59378]","['Devon County Council', 0.59378]","['Sci-Fi on the Rock', 0.59378]","['Astronautalis', 0.59378]","['Ephraim Kingsbury Avery', 0.59378]","['Sarah Maria Cornell', 0.59378]","['Josh Mandel', 0.59378]","['Thomas H. Lee (businessman)', 0.59378]","['Marisa Sannia', 0.59378]","['Political positions of Ronald Reagan', 0.59378]"
"['Beechwood High School', 1.0]","['Old Man Logan', 1.0]","['Omar M. Yaghi', 1.0]","['Toyota Corolla (E100)', 1.0]","['Toyota Corolla (E110)', 1.0]","['Demet Akalın', 0.99053]","['Henry Lau', 0.95377]","['Annie Baker', 0.95377]","['Potato cannon', 0.94494]","['Eddy Arnold discography', 0.9012]","['David Rudisha', 0.8217]","['Filip Polášek', 0.7555]","[""2003 Men's European Water Polo Championship"", 0.7555]","['Serbia Zijin Bor Copper', 0.7555]","['Aikawa, Niigata', 0.7555]","['Zhang Jilin', 0.7555]","['Frontline (The Bill)', 0.7555]","['Recount (film)', 0.7555]","['Tariq Niazi', 0.7555]","[""Wrestling at the 1992 Summer Olympics – Men's freestyle 52 kg"", 0.7555]","['Helen Luz', 0.7555]","['Ebrahim Seifpour', 0.7555]","['Roneat dek', 0.7555]","['Eric Villalon', 0.7555]","['Kjartan Haugen', 0.7555]","['Ernst Bolldén', 0.7555]","['Paola Fantato', 0.7555]","['Percy Vear', 0.7555]","['Jonas Jacobsson', 0.7555]","['Holger Nikelis', 0.7555]"
"['Operation Sudden Fall', 1.0]","['Astronautalis', 1.0]","['Political positions of Ronald Reagan', 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Warehouse 13', 1.0]","['2008–09 Cleveland Cavaliers season', 1.0]","['12 (Keller Williams album)', 1.0]","['Washington Redhawks', 1.0]","['Climate of Ireland', 1.0]","['Nabendu Ghosh', 1.0]","['Television Preview', 1.0]","['Lee International', 1.0]","['Diego Capusotto', 1.0]","['Demet Akalın', 1.0]","['Open textbook', 1.0]","['The Firefly (operetta)', 1.0]","['Energy Resources Conservation Board', 1.0]","['David Rudisha', 1.0]","['Jean Machi', 1.0]","['Ondine (ballet)', 1.0]","['Roger Bernadina', 1.0]","['Devon County Council', 1.0]","['Viscoplasticity', 1.0]","['Modulating retro-reflector', 1.0]","['In the Rain', 1.0]","['David E. Carter', 1.0]","['Sports league ranking', 1.0]","['Sci-Fi on the Rock', 1.0]","['Kris Jenner', 1.0]","['1960 United States presidential election in California', 1.0]","['Michael Arbuthnot', 1.0]","['Big Noise from Winnetka', 1.0]","['Hurricane Alma (1996)', 1.0]","['Roneat thung', 1.0]"
"['An Awfully Big Adventure', 1.0]","['List of Marvel 1602 characters', 1.0]","['The Greenwood School (Putney, Vermont)', 1.0]","['Climate of Ireland', 1.0]","['La Sonnambula (Balanchine)', 1.0]","['Henry Granville Sharpe', 1.0]","['2009–10 2. Bundesliga', 1.0]","['Conanicut Island Light', 1.0]","['Mats Zuccarello', 1.0]","['Babe Winkelman', 1.0]","['Mark Worrell', 1.0]","['Hadath El Jebbeh', 1.0]","['Eric Villalon', 1.0]","['Thomas Martin Easterly', 1.0]","['Kjartan Haugen', 1.0]","['Percy Vear', 1.0]","['Astronautalis', 1.0]","['Pieces of a Man', 1.0]","['Styrian Armoury', 1.0]","['William King Covell III House', 1.0]","['Henry Lau', 1.0]","['Beechwood High School', 1.0]","['Cressie', 1.0]","['James Ford Bell Lecture', 1.0]","['Climate of Argentina', 1.0]","['2008–09 U.S. Città di Palermo season', 1.0]","['Keith Williams (baseball)', 1.0]","['Chris Hook', 1.0]","['Pål Grotnes', 1.0]","['Mathis Olimb', 1.0]"
"['1988–89 St. Louis Blues season', 1.0]","['1992–93 St. Louis Blues season', 1.0]","['1975–76 New York Nets season', 1.0]","['Rick Metsger', 1.0]","['Mats Zuccarello', 1.0]","['Alan Dunn', 1.0]","['Eamonn Keane (weightlifter)', 1.0]","['David Banner discography', 1.0]","['1978 Major League Baseball All-Star Game', 1.0]","['Jay Papasan', 1.0]","['Wood Brothers Racing', 1.0]","['Loosely Tight', 1.0]","['1991–92 Boston Celtics season', 1.0]","['1984–85 Boston Celtics season', 1.0]","['The Legend of White Fang', 1.0]",,,,,,,,,,,,,,,
"['Energy Resources Conservation Board', 0.88124]","['Pakistan Nuclear Power Fuel Complex', 0.88124]","['Elimination diet', 0.72068]","['Michigan Limestone and Chemical Company', 0.7161]","['Nucleotide universal IDentifier', 0.7161]","['John Hilliard (artist)', 0.7161]","['PhotoPerfect', 0.7161]","['Lykes Brothers', 0.7161]","['Chiyoda Corporation', 0.7161]","['Durophagy', 0.7161]","['List of image-sharing websites', 0.7161]","['Cato Hill Historic District', 0.7161]","['List of Marvel 1602 characters', 0.69799]","['Nigel Shadbolt', 0.69799]","['Annie Baker', 0.69799]","['Richard Warwick', 0.69799]","['Mutah University', 0.69799]","['AuthorAID', 0.69567]","['Reservation poverty', 0.62963]","['Index of New Mexico–related articles', 0.62963]","['The Greenwood School (Putney, Vermont)', 0.59078]","['Canada Science and Technology Museum', 0.51359]","['Alvin Colt', 0.51359]","['Acheloma', 0.51359]","['Barren Island (Maryland)', 0.51359]","['DePauw Avenue Historic District', 0.51359]","['Plum Beach Light', 0.51359]","['Angela Zimmerman', 0.51359]","['Sintra (disambiguation)', 0.51359]","['Collaborative Fusion', 0.51359]"
"['Tatsuhisa Suzuki', 0.89776]","['Josh Mandel', 0.88951]","['Wood Brothers Racing', 0.7317]","['Lebanon national futsal team', 0.61426]","['Mats Zuccarello', 0.50421]","['Guido Vincenzi', 0.50421]","['Bartosz Salamon', 0.50421]","['Saori Kondo', 0.50421]","['Tinopolis', 0.50421]","['Helmut Gutiérrez', 0.50421]","['Larry Jennings', 0.50421]","['EA Bright Light', 0.50421]","['Jimmy Binning', 0.50421]","['Giovanni Giacomazzi', 0.50421]","['May 2008 in sports', 0.50371]","['Turkey national under-17 football team', 0.50334]","['Paraguay national futsal team', 0.50256]","['Ernst Bolldén', 0.49992]","['David Williams (rugby league, born 1986)', 0.49992]","['Dougie Sharpe', 0.49534]","['Sport in Catalonia', 0.49045]","['Pablo Aguilar (footballer, born 1987)', 0.49016]","['International cricket in 2008–09', 0.48975]","['Mavuba Mafuila', 0.48542]","['Kazadi Mwamba', 0.48043]","['2008 in Paraguayan football', 0.47787]","['Adderly Fong', 0.47787]","['Jack Surtees', 0.47787]","['Khaled Hamieh', 0.47787]","['Alan Hunte', 0.47787]"
"['Bakersfield Community Theatre', 0.73054]","['Rachel Tucker', 0.73054]","['Jodie Prenger', 0.73054]","['Children of Rain', 0.73054]","['Dutch Island Light', 0.68287]","['Black Mass Krakow 2004', 0.68287]","['Postkodmiljonären', 0.68287]","['Kirk Ireton', 0.68287]","['Hassan (surname)', 0.68287]","['Slieve Gallion', 0.68287]",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Ill Chemistry', 1.0]","['Jodie Prenger', 0.96676]","['Je marche seul', 0.94499]","['Fernando González (writer)', 0.94499]","['179th Fighter Squadron', 0.94358]","['Jaguar 420 and Daimler Sovereign (1966–1969)', 0.94339]","['Sci-Fi on the Rock', 0.89585]","['Political positions of Ronald Reagan', 0.86703]","['Eddy Arnold discography', 0.8644]","['Dabhol', 0.84754]","['Yannis Philippakis', 0.84754]","['Vivi Zigler', 0.84382]","['Nuit (song)', 0.84382]","['Monna Bell', 0.84382]","['Jag Mundhra', 0.84382]","['Becca (musician)', 0.84382]","['Gonna Get Over You', 0.84382]","['Gregg Barnes', 0.84382]","['Mannhai', 0.84382]","['Lev Yilmaz', 0.84382]","['Tomoaki Maeno', 0.84382]","['Rachel Tucker', 0.83865]","['Henry Lau', 0.83327]","['Reservation poverty', 0.83042]","['Mallu Magalhães', 0.82678]","['Roberto Ampuero', 0.82678]","['Wood Brothers Racing', 0.81783]","['How Do You Solve a Problem Like Maria? (Canadian TV series)', 0.81717]","['Astronautalis', 0.81034]","['The Greenwood School (Putney, Vermont)', 0.80717]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['Melanocyma', 0.80645]","['Blue cow', 0.80645]","['Wood Brothers Racing', 0.80645]","['Huo Jianqi', 0.5913]","['Astronautalis', 0.5913]","['Yushania alpina', 0.5913]","['Utricularia macrocheilos', 0.5913]","['John R. Cummins Farmhouse', 0.5913]","['2008–09 Queens Park Rangers F.C. season', 0.5913]","['Desert Garden Conservatory', 0.5913]","['Skimmia japonica', 0.5913]","['Skimmia laureola', 0.5913]","['Skimmia anquetilia', 0.5913]","['Roman Catholic Deanery of Sumy', 0.5913]","['Lowland heath', 0.5913]","['Sambucus peruviana', 0.5913]","['Momordica dioica', 0.5913]","['Broom of the Cowdenknowes', 0.5913]","['San Joaquín de Flores', 0.5913]","['Mompiche', 0.5913]",,,,,,,,,,
